date,source,source_tx_id,tx_type,asset,amount,fee,fee_asset,counterparty_asset,counterparty_amount,notes
2024-09-24T09:58:46+00:00,binance,,airdrop,LUNA,1E-8,0,,,0,Binance Airdrop Assets
2024-09-29T21:20:46+00:00,kraken,LEG6VP-JLTAE-FMHZAA,earn_reward,DOT,0.0035913065,0,,,0,Kraken earn reward (crypto)
2024-10-01T13:58:46+00:00,binance,,deposit,USDC,0.002,0,,,0,Binance Deposit
2024-10-01T14:02:04+00:00,binance,,deposit,USDC,3109.46907,0,,,0,Binance Deposit
2024-10-01T14:09:51+00:00,binance,,sell,USDC,3109.38394,2.66665,EUR,EUR,2807,Binance Trade
2024-10-01T14:24:06+00:00,binance,,fiat_withdrawal,EUR,2804.33,0,,,0,Binance Fiat Withdraw
2024-10-06T21:20:28+00:00,kraken,LCDVOB-M2VE4-NMZCZV,earn_reward,DOT,0.0035773575,0,,,0,Kraken earn reward (crypto)
2024-10-13T21:20:45+00:00,kraken,LN6XLX-KVTWJ-KVO47Q,earn_reward,DOT,0.0037817198,0,,,0,Kraken earn reward (crypto)
2024-10-15T11:27:11+00:00,kraken,LQTTT2-BVCAF-IDAYJR,deposit,ETH,0.01,0,,,0,Kraken deposit (crypto)
2024-10-15T12:06:27+00:00,binance,,deposit,ETH,0.000001,0,,,0,Binance Deposit
2024-10-15T12:11:14+00:00,binance,,deposit,ETH,0.575,0,,,0,Binance Deposit
2024-10-15T12:19:55+00:00,binance,,sell,ETH,0.575001,0,,EUR,1362.04,Binance Sell Crypto To Fiat
2024-10-15T13:40:35+00:00,kraken,LCBNU3-YHGTP-FXZAMQ,deposit,ETH,0.570114922,0,,,0,Kraken deposit (crypto)
2024-10-15T14:31:31+00:00,binance,,fiat_withdrawal,EUR,1362.04,0,,,0,Binance Fiat Withdraw
2024-10-20T21:20:29+00:00,kraken,L2EXFH-E7NV4-T5ZL37,earn_reward,DOT,0.0037452388,0,,,0,Kraken earn reward (crypto)
2024-10-21T17:05:05+00:00,binance,,airdrop,LUNA,1E-8,0,,,0,Binance Airdrop Assets
2024-10-22T11:52:14+00:00,kraken,LOLV6U-IY7ZC-WAKKXT,sell,ETH,0.58011697,13.9,EUR,EUR,1403.87,Kraken Trade
2024-10-22T11:53:05+00:00,kraken,LQWLII-BKCRB-KZBEQJ,fiat_withdrawal,EUR,1388.97,1,EUR,,0,Kraken withdrawal (fiat)
2024-10-22T12:20:57+00:00,kraken,L5RX7U-EHRYS-ORK4VO,deposit,USDC,3,0,,,0,Kraken deposit (stable_coin)
2024-10-22T14:17:10+00:00,kraken,LGOQJD-TGVCP-VOVH3S,deposit,USDC,1087.128494,0,,,0,Kraken deposit (stable_coin)
2024-10-23T16:10:41+00:00,kraken,LOGEVU-CXZCP-63YYZK,sell,USDC,1090.1285,9.96,EUR,EUR,1006,Kraken Trade
